,time,PVgen,netload,demand,normdemand
0,735781.0,-0.015,11.914,11.906,0.3345415718339937
1,735781.0006944445,-0.016,9.904,9.896,0.2780634465705696
2,735781.0013888889,-0.016,9.848,9.84,0.27648992666273287
3,735781.0020833333,-0.016,9.593,9.585,0.2693247913681194
4,735781.0027777778,-0.015,8.932,8.925,0.2507797353114727
5,735781.0034722221,-0.008,10.944,10.941,0.3074264519935936
6,735781.0041666665,-0.006,11.637,11.634,0.3268987608530726
7,735781.004861111,-0.006,13.535,13.533,0.3802579448706061
8,735781.0055555556,-0.006,13.43,13.427,0.3772794964736295
9,735781.00625,-0.006,13.404,13.402,0.3765770322290595
10,735781.0069444444,-0.007,12.691,12.687,0.3564865548343589
11,735781.0076388889,-0.01,11.163,11.156,0.3134676444968951
12,735781.0083333333,-0.013,10.571,10.564,0.2968332911854787
13,735781.0090277778,-0.013,10.454,10.447,0.29354575852089126
14,735781.0097222222,-0.013,10.395,10.388,0.29188794290370623
15,735781.0104166665,-0.013,11.844,11.838,0.3326308690887634
16,735781.0111111111,-0.014,10.869,10.863,0.3052347635505353
17,735781.0118055554,-0.014,9.98,9.974,0.2802551350136278
18,735781.0124999998,-0.014,9.526,9.52,0.2674983843322375
19,735781.0131944446,-0.014,9.189,9.183,0.25802916631543454
20,735781.0138888889,-0.014,8.506,8.499,0.2388097445840007
21,735781.0145833332,-0.014,8.617,8.61,0.24192868582989124
22,735781.0152777778,-0.014,11.137,11.13,0.3127370816825424
23,735781.0159722222,-0.013,11.496,11.49,0.32285256680434965
24,735781.0166666667,-0.013,11.424,11.418,0.32082946977998816
25,735781.0173611111,-0.013,11.514,11.508,0.32335834106044004
26,735781.0180555556,-0.011,12.249,12.244,0.3440388884205794
27,735781.01875,-0.006,14.371,14.369,0.40374834920902525
28,735781.0194444443,-0.006,14.349,14.347,0.4031301806738037
29,735781.0201388889,-0.006,14.48,14.478,0.40681109331535026
30,735781.0208333333,-0.006,15.166,15.164,0.42608671218634975
31,735781.021527778,-0.006,19.673,19.671,0.5527269661974206
32,735781.0222222221,-0.01,17.496,17.49,0.491443985501138
33,735781.0229166667,-0.011,18.709,18.703,0.525527550647672
34,735781.0236111111,-0.013,18.77,18.764,0.5272415634044227
35,735781.0243055555,-0.013,18.764,18.758,0.5270729719857259
36,735781.025,-0.013,18.757,18.751,0.5268762819972463
37,735781.0256944445,-0.013,18.685,18.679,0.5248531849728849
38,735781.026388889,-0.014,16.988,16.982,0.4771699120514766
39,735781.0270833332,-0.014,15.713,15.707,0.44134423557840907
40,735781.0277777779,-0.014,14.248,14.242,0.40017983084660996
41,735781.0284722222,-0.014,13.314,13.308,0.37393576666947653
42,735781.0291666666,-0.014,10.722,10.716,0.30110427379246396
43,735781.0298611111,-0.014,9.797,9.791,0.2751130967433758
44,735781.0305555556,-0.014,9.112,9.105,0.2558374778723763
45,735781.03125,-0.014,8.779,8.773,0.24650875270448735
46,735781.0319444444,-0.014,8.668,8.662,0.24338981145859678
47,735781.0326388889,-0.014,8.771,8.764,0.24625586557644216
48,735781.0333333333,-0.011,10.824,10.819,0.3039984264800922
49,735781.0340277778,-0.008,13.984,13.981,0.3928461041332996
50,735781.0347222221,-0.008,14.023,14.02,0.39394194835482876
51,735781.0354166665,-0.008,13.119,13.116,0.3685408412711793
52,735781.036111111,-0.008,12.597,12.594,0.3538733878445587
53,735781.0368055555,-0.009,11.249,11.244,0.3159403186377813
54,735781.0375,-0.011,9.991,9.985,0.2805642192812386
55,735781.0381944445,-0.014,9.535,9.529,0.26775127146028266
56,735781.0388888889,-0.013,11.178,11.172,0.3139172216134199
57,735781.0395833333,-0.013,11.819,11.813,0.33192840484419345
58,735781.0402777778,-0.013,9.924,9.917,0.27865351653600834
59,735781.0409722222,-0.013,9.828,9.822,0.2759841524066425
60,735781.0416666665,-0.013,9.369,9.362,0.2630588103065554
61,735781.0423611111,-0.013,9.292,9.286,0.26092331900306276
62,735781.0430555557,-0.013,9.713,9.707,0.27275281688162073
63,735781.0437499998,-0.014,13.882,13.875,0.38986765573632304
64,735781.0444444444,-0.015,16.652,16.645,0.4677006940346736
65,735781.0451388889,-0.016,15.48,15.473,0.43476917024923434
66,735781.0458333332,-0.016,14.635,14.628,0.41102587878276997
67,735781.0465277778,-0.016,12.149,12.141,0.34114473573295123
68,735781.0472222222,-0.016,12.084,12.076,0.33931832869706935
69,735781.0479166667,-0.016,11.68,11.672,0.32796650650481896
70,735781.0486111111,-0.012,12.367,12.361,0.3473264210851668
71,735781.0493055554,-0.006,13.121,13.119,0.3686251369805277
72,735781.05,-0.005,13.362,13.361,0.3754249908679649
73,735781.0506944446,-0.005,13.051,13.05,0.3666863356655147
74,735781.0513888889,-0.005,12.843,12.842,0.3608418331506927
75,735781.0520833333,-0.009,10.745,10.74,0.30177863946725114
76,735781.052777778,-0.012,10.312,10.307,0.2896119587512996
77,735781.0534722221,-0.013,10.008,10.001,0.28101379639776336
78,735781.0541666667,-0.013,10.066,10.06,0.28267161201494845
79,735781.0548611111,-0.013,9.842,9.836,0.2763775323836017
80,735781.0555555556,-0.014,7.146,7.14,0.20062378824917812
81,735781.05625,-0.013,8.654,8.648,0.24299643148163758
82,735781.0569444444,-0.013,8.472,8.466,0.23788249178116833
83,735781.057638889,-0.013,8.212,8.206,0.23057686363764085
84,735781.0583333332,-0.013,7.982,7.976,0.2241141925875973
85,735781.0590277779,-0.013,7.747,7.741,0.21751102868863975
86,735781.0597222222,-0.013,7.664,7.657,0.21515074882688473
87,735781.0604166666,-0.013,9.155,9.149,0.2570738149428194
88,735781.0611111111,-0.013,10.184,10.178,0.2859872432493186
89,735781.0618055555,-0.014,10.845,10.839,0.3045603978757481
90,735781.0625,-0.014,9.273,9.267,0.26038944617718957
91,735781.0631944445,-0.013,8.075,8.07,0.22675545814718032
92,735781.0638888889,-0.007,11.013,11.01,0.3093652533086066
93,735781.0645833333,-0.007,10.965,10.961,0.30798842338924953
94,735781.0652777778,-0.007,10.89,10.887,0.30590912922532243
95,735781.0659722221,-0.007,10.659,10.657,0.2994464581752789
96,735781.0666666665,-0.01,8.824,8.819,0.24780128691449607
97,735781.067361111,-0.012,8.0,7.994,0.22461996684368765
98,735781.0680555556,-0.014,5.613,5.606,0.1575205822023659
99,735781.06875,-0.014,5.131,5.124,0.14397707156705725
100,735781.0694444444,-0.014,4.564,4.558,0.12807328106999355
101,735781.0701388889,-0.014,4.479,4.473,0.1256849026384557
102,735781.0708333333,-0.014,4.477,4.47,0.1256006069291073
103,735781.0715277778,-0.014,4.479,4.473,0.1256849026384557
104,735781.0722222222,-0.014,4.482,4.476,0.1257691983478041
105,735781.0729166665,-0.014,4.559,4.552,0.12790468965129675
106,735781.0736111111,-0.014,4.56,4.553,0.12793278822107956
107,735781.0743055554,-0.014,5.271,5.265,0.14793896990643177
108,735781.0749999998,-0.014,7.03,7.023,0.19733625558459075
109,735781.0756944446,-0.014,7.032,7.025,0.19739245272415637
