n,fbs,dss
1,109.10014899999997,1.5806769999997528
2,153.46019499999997,3.0501770000004313
3,177.16723199999996,5.663363000000032
4,322.8810470000001,6.36003400000007
5,342.625784,7.752959999999476
6,384.8471750000002,10.263225999999293
7,406.4845930000001,12.474142000000299
8,472.505033,11.973552999998915
9,530.4496259999997,25.7619009999992
10,583.350565,18.201009000000212
11,656.3080069999999,23.723026000000758
12,947.0788629999997,16.926221000000297
13,963.9533079999998,17.755444999998815
14,1341.3635409999997,17.49174600000103
15,900.1518879999999,19.860485000000594
16,923.8923200000002,19.711806999998416
17,977.3211249999996,22.235593999999637
18,1039.5057390000009,22.919046000000165
19,1163.1993699999991,23.97756699999931
20,1554.029374999999,25.263984000000406
